id,theme,title,author_short,authors_full,n_authors,year,venue,publisher,volume,pages,doi,arxiv,relevance
P18,Detection,Detecting hallucinations in large language models using semantic entropy,Farquhar et al.,Sebastian Farquhar; Jannik Kossen; Lorenz Kuhn; Yarin Gal,4,2024,Nature,Springer Science and Business Media LLC,630,625-630,10.1038/s41586-024-07421-0,,5
P19,Benchmark,TruthfulQA: Measuring How Models Mimic Human Falsehoods,Lin et al.,Stephanie Lin; Jacob Hilton; Owain Evans,3,2022,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Association for Computational Linguistics,,3214-3252,10.18653/v1/2022.acl-long.229,2109.07958,4
P20,Evaluation metric,FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation,Min et al.,Sewon Min; Kalpesh Krishna; Xinxi Lyu; Mike Lewis; Wen-tau Yih; Pang Koh; Mohit Iyyer; Luke Zettlemoyer; Hannaneh Hajishirzi,9,2023,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,Association for Computational Linguistics,,12076-12100,10.18653/v1/2023.emnlp-main.741,2305.14251,5
P21,Detection,AutoHall: Automated Factuality Hallucination Dataset Generation for Large Language Models,Cao et al.,Zouying Cao; Yifei Yang; Xiaojing Li; Hai Zhao,4,2026,"IEEE Transactions on Audio, Speech and Language Processing",Institute of Electrical and Electronics Engineers (IEEE),34,184-195,10.1109/taslpro.2025.3635038,,4
P22,Mitigation,Retrieval Augmentation Reduces Hallucination in Conversation,Shuster et al.,Kurt Shuster; Spencer Poff; Moya Chen; Douwe Kiela; Jason Weston,5,2021,Findings of the Association for Computational Linguistics: EMNLP 2021,Association for Computational Linguistics,,3784-3803,10.18653/v1/2021.findings-emnlp.320,2104.07567,5
P23,Mitigation,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",Asai et al.,Akari Asai; Zeqiu Wu; Yizhong Wang; Avirup Sil; Hannaneh Hajishirzi,5,2024,Proc. Int. Conf. Learn. Represent. (ICLR),arXiv,,,,2310.11511,5
P24,Mitigation,Corrective Retrieval Augmented Generation,Yan et al.,Shi-Qi Yan; Jia-Chen Gu; Yun Zhu; Zhen-Hua Ling,4,2024,arXiv preprint,arXiv,,,,2401.15884,5
P25,Mitigation,Active Retrieval Augmented Generation,Jiang et al.,Zhengbao Jiang; Frank Xu; Luyu Gao; Zhiqing Sun; Qian Liu; Jane Dwivedi-Yu; Yiming Yang; Jamie Callan; Graham Neubig,9,2023,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,Association for Computational Linguistics,,7969-7992,10.18653/v1/2023.emnlp-main.495,2305.06983,5
P26,Mitigation,Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions,Trivedi et al.,Harsh Trivedi; Niranjan Balasubramanian; Tushar Khot; Ashish Sabharwal,4,2023,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Association for Computational Linguistics,,10014-10037,10.18653/v1/2023.acl-long.557,2212.10509,5
P27,Mitigation,Chain-of-Verification Reduces Hallucination in Large Language Models,Dhuliawala et al.,Shehzaad Dhuliawala; Mojtaba Komeili; Jing Xu; Roberta Raileanu; Xian Li; Asli Celikyilmaz; Jason Weston,7,2024,Findings of the Association for Computational Linguistics ACL 2024,Association for Computational Linguistics,,3563-3578,10.18653/v1/2024.findings-acl.212,2309.11495,5
P28,Mitigation,"RARR: Researching and Revising What Language Models Say, Using Language Models",Gao et al.,Luyu Gao; Zhuyun Dai; Panupong Pasupat; Anthony Chen; Arun Tejasvi Chaganty; Yicheng Fan; Vincent Zhao; Ni Lao; Hongrae Lee; Da-Cheng Juan; Kelvin Guu,11,2023,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Association for Computational Linguistics,,16477-16508,10.18653/v1/2023.acl-long.910,2210.08726,4
P29,Mitigation,From Local to Global: A Graph RAG Approach to Query-Focused Summarization,Edge et al.,Darren Edge; Ha Trinh; Newman Cheng; Joshua Bradley; Alex Chao; Apurva Mody; Steven Truitt; Dasha Metropolitansky; Robert Osazuwa Ness; Jonathan Larson,10,2024,arXiv preprint,arXiv,,,,2404.16130,5
P30,Evaluation metric,RAGAs: Automated Evaluation of Retrieval Augmented Generation,Es et al.,Shahul Es; Jithin James; Luis Espinosa Anke; Steven Schockaert,4,2024,Proceedings of the 18th Conference of the European Chapter of the Association for Computational Linguistics: System Demonstrations,Association for Computational Linguistics,,150-158,10.18653/v1/2024.eacl-demo.16,2309.15217,5
P31,Benchmark,Benchmarking Large Language Models in Retrieval-Augmented Generation,Chen et al.,Jiawei Chen; Hongyu Lin; Xianpei Han; Le Sun,4,2024,Proc. AAAI Conf. Artif. Intell.,arXiv,,,,2309.01431,5
P32,Benchmark,RAGTruth: A Hallucination Corpus for Developing Trustworthy Retrieval-Augmented Language Models,Niu et al.,Cheng Niu; Yuanhao Wu; Juno Zhu; Siliang Xu; KaShun Shum; Randy Zhong; Juntong Song; Tong Zhang,8,2024,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Association for Computational Linguistics,,10862-10878,10.18653/v1/2024.acl-long.585,2401.00396,5
P33,Survey,Hallucination Mitigation for Retrieval-Augmented Large Language Models: A Review,Zhang et al.,Wan Zhang; Jing Zhang,2,2025,Mathematics,MDPI AG,13,856,10.3390/math13050856,,5
